LC,G,CB,CH,PA,LV
0.460125914,0.844503075,0.310455281,0.631832473,0.77233142,0.738052969
0.32383821,0.627766072,0.75393621,0.551633189,0.64809827,0.713678018
0.720239599,0.805919917,0.775535608,0.73143355,0.379697243,0.461769805
0.54552176,0.2509867,0.185297257,0.731032273,0.624368078,0.527583562
0.828317708,0.711922437,0.739160974,0.574859824,0.738119074,0.619129221
0.759852079,0.771946462,0.859052558,0.840998089,0.112750527,0.440678738
0.420746223,0.587063199,0.854671552,0.743733494,0.468799132,0.795648619
0.808767964,0.695930081,0.681561871,0.627779682,0.577201963,0.524215451
0.358337938,0.829369219,0.837072915,0.685080414,0.661785052,0.423307431
0.562400611,0.299246022,0.697947185,0.788041738,0.652934438,0.8281417
0.50207863,0.54852138,0.773591979,0.765596392,0.638234838,0.676156673
0.481761507,0.396432375,0.553364893,0.615883461,0.528526745,0.670998245
0.563712172,0.394467479,0.896180335,0.742910798,0.752584096,0.825043175
0.295028336,0.261697283,0.318836421,0.693549373,0.649562247,0.756491943
0.557280315,0.665616228,0.399032976,0.422065474,0.742508528,0.919102703
0.652791159,0.616716174,0.701288413,0.713299691,0.482875301,0.686938777
0.889042787,0.669593172,0.851199947,0.837929904,0.65374532,0.847608423
0.835068526,0.734719234,0.714195406,0.711689982,0.693505657,0.790696812
0.665602904,0.772369149,0.781521773,0.781521773,0.800102783,0.736120746
0.654069389,0.637446168,0.60303123,0.60303123,0.729335379,0.586362544
0.708341716,0.877306016,0.732761282,0.771463204,0.726245513,0.749964855
0.784140758,0.756967907,0.815779659,0.66320098,0.880590942,0.747516924
0.721736305,0.759083588,0.800730203,0.721611426,0.569107009,
0.749992675,0.8085336,0.786058953,0.672496783,0.711188118,
0.757446839,0.510962579,0.87756163,0.599743998,0.746997694,
0.756042485,0.707542367,0.906353407,,,
0.881553704,0.766021377,0.74329954,,,
0.852191781,0.794101638,0.827936399,,,
0.884004089,0.817056999,0.691177132,,,
,0.753140246,0.847181148,,,
,0.813674039,0.722116636,,,
,0.75777492,0.859780369,,,
,0.851652419,0.884787067,,,
,0.843188977,0.878619629,,,
,0.894169572,0.841197029,,,
,0.76416288,0.787815778,,,
,0.79238725,0.768807055,,,
,0.694599703,0.834060436,,,
,0.837876137,0.787215372,,,
,0.816168232,0.698741487,,,
,0.784401938,0.72256718,,,
,0.59999973,0.85918702,,,
,0.896146981,0.796044924,,,
,0.806951124,0.748196827,,,
,0.678683748,0.775553963,,,
,0.521126221,0.861378562,,,
,0.700866055,0.863105311,,,
,0.797489395,0.836509572,,,
,0.857805255,0.777865186,,,
,0.823511178,,,,
