id,lc,g,cb,ch,pa,lv
lcf,9.216589862,6.451612903,6.068601583,8.612440191,7.368421053,7.246376812
scf,1.382488479,2.729528536,2.374670185,3.827751196,4.736842105,0.724637681
as,1.843317972,3.225806452,3.430079156,2.392344498,5.263157895,2.173913043
ss,5.529953917,4.466501241,5.277044855,4.784688995,5.263157895,5.072463768
vpm,0.460829493,0.992555831,1.319261214,0.4784689,0,0
sg,2.764976959,2.729528536,3.430079156,2.392344498,3.684210526,2.173913043
cg,1.382488479,3.225806452,4.485488127,0.956937799,2.105263158,2.173913043
eg,4.147465438,4.714640199,2.374670185,4.784688995,3.684210526,2.898550725
up,10.13824885,4.218362283,4.749340369,4.784688995,6.842105263,4.347826087
be,11.52073733,5.210918114,8.443271768,5.263157895,10.52631579,14.49275362
mr,2.304147465,2.481389578,4.221635884,2.870813397,1.578947368,1.449275362
ga,1.843317972,4.218362283,3.693931398,3.349282297,0,0
af,11.05990783,6.203473945,8.179419525,10.04784689,8.947368421,12.31884058
sp,8.294930876,13.39950372,12.13720317,8.133971292,7.368421053,9.420289855
sc,5.069124424,6.203473945,6.332453826,6.220095694,3.157894737,3.623188406
scr,0.460829493,0.496277916,0.263852243,0,0,0
ep,4.147465438,2.729528536,1.319261214,2.392344498,4.210526316,1.449275362
ef,4.608294931,5.210918114,3.166226913,7.177033493,5.263157895,6.52173913
m,3.686635945,5.955334988,3.430079156,6.220095694,2.631578947,0.724637681
mm,0,0.248138958,0.263852243,0.956937799,0.526315789,0
iwm,0,1.736972705,2.90237467,0.4784689,1.052631579,0
co,0,0.496277916,0.527704485,0,0,0
scg,0,0,0,0,2.105263158,0
ap,7.373271889,9.677419355,8.707124011,10.52631579,11.05263158,14.49275362
ed,2.764976959,2.481389578,2.638522427,1.913875598,2.105263158,8.695652174
d,0,0,0,1.435406699,0.526315789,0
ls,0,0.496277916,0.263852243,0,0,0
